2022-03-11 02:43:19 status unpacked base-passwd:armhf 3.5.44
2022-03-11 02:43:19 status unpacked base-passwd:armhf 3.5.44
2022-03-11 02:43:19 install bash:armhf <none> 4.4.18-2ubuntu1
2022-03-11 02:43:19 status half-installed bash:armhf 4.4.18-2ubuntu1
2022-03-11 02:43:19 status unpacked bash:armhf 4.4.18-2ubuntu1
2022-03-11 02:43:19 status unpacked bash:armhf 4.4.18-2ubuntu1
2022-03-11 02:43:19 install bsdutils:armhf <none> 1:2.31.1-0.4ubuntu3
2022-03-11 02:43:19 status half-installed bsdutils:armhf 1:2.31.1-0.4ubuntu3
2022-03-11 02:43:19 status unpacked bsdutils:armhf 1:2.31.1-0.4ubuntu3
2022-03-11 02:43:19 status unpacked bsdutils:armhf 1:2.31.1-0.4ubuntu3
2022-03-11 02:43:19 install coreutils:armhf <none> 8.28-1ubuntu1
2022-03-11 02:43:19 status half-installed coreutils:armhf 8.28-1ubuntu1
2022-03-11 02:43:19 status unpacked coreutils:armhf 8.28-1ubuntu1
2022-03-11 02:43:19 status unpacked coreutils:armhf 8.28-1ubuntu1
2022-03-11 02:43:19 install dash:armhf <none> 0.5.8-2.10
2022-03-11 02:43:19 status half-installed dash:armhf 0.5.8-2.10
2022-03-11 02:43:20 status unpacked dash:armhf 0.5.8-2.10
2022-03-11 02:43:20 status unpacked dash:armhf 0.5.8-2.10
2022-03-11 02:43:20 install debconf:all <none> 1.5.66
2022-03-11 02:43:20 status half-installed debconf:all 1.5.66
2022-03-11 02:43:20 status unpacked debconf:all 1.5.66
2022-03-11 02:43:20 status unpacked debconf:all 1.5.66
2022-03-11 02:43:20 install debianutils:armhf <none> 4.8.4
2022-03-11 02:43:20 status half-installed debianutils:armhf 4.8.4
2022-03-11 02:43:20 status unpacked debianutils:armhf 4.8.4
2022-03-11 02:43:20 status unpacked debianutils:armhf 4.8.4
2022-03-11 02:43:20 install diffutils:armhf <none> 1:3.6-1
2022-03-11 02:43:20 status half-installed diffutils:armhf 1:3.6-1
2022-03-11 02:43:20 status unpacked diffutils:armhf 1:3.6-1
2022-03-11 02:43:20 status unpacked diffutils:armhf 1:3.6-1
2022-03-11 02:43:20 upgrade dpkg:armhf 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2022-03-11 02:43:20 status half-configured dpkg:armhf 1.19.0.5ubuntu2
2022-03-11 02:43:20 status unpacked dpkg:armhf 1.19.0.5ubuntu2
2022-03-11 02:43:20 status half-installed dpkg:armhf 1.19.0.5ubuntu2
2022-03-11 02:43:20 status half-installed dpkg:armhf 1.19.0.5ubuntu2
2022-03-11 02:43:20 status unpacked dpkg:armhf 1.19.0.5ubuntu2
2022-03-11 02:43:20 status unpacked dpkg:armhf 1.19.0.5ubuntu2
2022-03-11 02:43:20 install e2fsprogs:armhf <none> 1.44.1-1
2022-03-11 02:43:20 status half-installed e2fsprogs:armhf 1.44.1-1
2022-03-11 02:43:20 status unpacked e2fsprogs:armhf 1.44.1-1
2022-03-11 02:43:20 status unpacked e2fsprogs:armhf 1.44.1-1
2022-03-11 02:43:20 install fdisk:armhf <none> 2.31.1-0.4ubuntu3
2022-03-11 02:43:20 status half-installed fdisk:armhf 2.31.1-0.4ubuntu3
2022-03-11 02:43:20 status unpacked fdisk:armhf 2.31.1-0.4ubuntu3
2022-03-11 02:43:20 status unpacked fdisk:armhf 2.31.1-0.4ubuntu3
2022-03-11 02:43:20 install findutils:armhf <none> 4.6.0+git+20170828-2
2022-03-11 02:43:20 status half-installed findutils:armhf 4.6.0+git+20170828-2
2022-03-11 02:43:21 status unpacked findutils:armhf 4.6.0+git+20170828-2
2022-03-11 02:43:21 status unpacked findutils:armhf 4.6.0+git+20170828-2
2022-03-11 02:43:21 install gcc-8-base:armhf <none> 8-20180414-1ubuntu2
2022-03-11 02:43:21 status half-installed gcc-8-base:armhf 8-20180414-1ubuntu2
2022-03-11 02:43:21 status unpacked gcc-8-base:armhf 8-20180414-1ubuntu2
2022-03-11 02:43:21 status unpacked gcc-8-base:armhf 8-20180414-1ubuntu2
2022-03-11 02:43:21 install grep:armhf <none> 3.1-2
2022-03-11 02:43:21 status half-installed grep:armhf 3.1-2
2022-03-11 02:43:21 status unpacked grep:armhf 3.1-2
2022-03-11 02:43:21 status unpacked grep:armhf 3.1-2
2022-03-11 02:43:21 install gzip:armhf <none> 1.6-5ubuntu1
2022-03-11 02:43:21 status half-installed gzip:armhf 1.6-5ubuntu1
2022-03-11 02:43:21 status unpacked gzip:armhf 1.6-5ubuntu1
2022-03-11 02:43:21 status unpacked gzip:armhf 1.6-5ubuntu1
2022-03-11 02:43:21 install hostname:armhf <none> 3.20
2022-03-11 02:43:21 status half-installed hostname:armhf 3.20
2022-03-11 02:43:21 status unpacked hostname:armhf 3.20
2022-03-11 02:43:21 status unpacked hostname:armhf 3.20
2022-03-11 02:43:21 install init-system-helpers:all <none> 1.51
2022-03-11 02:43:21 status half-installed init-system-helpers:all 1.51
2022-03-11 02:43:21 status unpacked init-system-helpers:all 1.51
2022-03-11 02:43:21 status unpacked init-system-helpers:all 1.51
2022-03-11 02:43:21 install libacl1:armhf <none> 2.2.52-3build1
2022-03-11 02:43:21 status half-installed libacl1:armhf 2.2.52-3build1
2022-03-11 02:43:21 status unpacked libacl1:armhf 2.2.52-3build1
2022-03-11 02:43:21 status unpacked libacl1:armhf 2.2.52-3build1
2022-03-11 02:43:21 install libattr1:armhf <none> 1:2.4.47-2build1
2022-03-11 02:43:21 status half-installed libattr1:armhf 1:2.4.47-2build1
2022-03-11 02:43:21 status unpacked libattr1:armhf 1:2.4.47-2build1
2022-03-11 02:43:21 status unpacked libattr1:armhf 1:2.4.47-2build1
2022-03-11 02:43:21 install libaudit-common:all <none> 1:2.8.2-1ubuntu1
2022-03-11 02:43:21 status half-installed libaudit-common:all 1:2.8.2-1ubuntu1
2022-03-11 02:43:21 status unpacked libaudit-common:all 1:2.8.2-1ubuntu1
2022-03-11 02:43:21 status unpacked libaudit-common:all 1:2.8.2-1ubuntu1
2022-03-11 02:43:21 install libaudit1:armhf <none> 1:2.8.2-1ubuntu1
2022-03-11 02:43:21 status half-installed libaudit1:armhf 1:2.8.2-1ubuntu1
2022-03-11 02:43:21 status unpacked libaudit1:armhf 1:2.8.2-1ubuntu1
2022-03-11 02:43:21 status unpacked libaudit1:armhf 1:2.8.2-1ubuntu1
2022-03-11 02:43:21 install libblkid1:armhf <none> 2.31.1-0.4ubuntu3
2022-03-11 02:43:21 status half-installed libblkid1:armhf 2.31.1-0.4ubuntu3
2022-03-11 02:43:21 status unpacked libblkid1:armhf 2.31.1-0.4ubuntu3
2022-03-11 02:43:21 status unpacked libblkid1:armhf 2.31.1-0.4ubuntu3
2022-03-11 02:43:21 install libbz2-1.0:armhf <none> 1.0.6-8.1
2022-03-11 02:43:21 status half-installed libbz2-1.0:armhf 1.0.6-8.1
2022-03-11 02:43:21 status unpacked libbz2-1.0:armhf 1.0.6-8.1
2022-03-11 02:43:21 status unpacked libbz2-1.0:armhf 1.0.6-8.1
2022-03-11 02:43:21 install libc-bin:armhf <none> 2.27-3ubuntu1
2022-03-11 02:43:21 status half-installed libc-bin:armhf 2.27-3ubuntu1
2022-03-11 02:43:21 status unpacked libc-bin:armhf 2.27-3ubuntu1
2022-03-11 02:43:21 status unpacked libc-bin:armhf 2.27-3ubuntu1
2022-03-11 02:43:21 upgrade libc6:armhf 2.27-3ubuntu1 2.27-3ubuntu1
2022-03-11 02:43:21 status half-configured libc6:armhf 2.27-3ubuntu1
2022-03-11 02:43:21 status unpacked libc6:armhf 2.27-3ubuntu1
2022-03-11 02:43:21 status half-installed libc6:armhf 2.27-3ubuntu1
2022-03-11 02:43:22 status half-installed libc6:armhf 2.27-3ubuntu1
2022-03-11 02:43:22 status unpacked libc6:armhf 2.27-3ubuntu1
2022-03-11 02:43:22 status unpacked libc6:armhf 2.27-3ubuntu1
2022-03-11 02:43:22 install libcap-ng0:armhf <none> 0.7.7-3.1
2022-03-11 02:43:22 status half-installed libcap-ng0:armhf 0.7.7-3.1
2022-03-11 02:43:22 status unpacked libcap-ng0:armhf 0.7.7-3.1
2022-03-11 02:43:22 status unpacked libcap-ng0:armhf 0.7.7-3.1
2022-03-11 02:43:22 install libcom-err2:armhf <none> 1.44.1-1
2022-03-11 02:43:22 status half-installed libcom-err2:armhf 1.44.1-1
2022-03-11 02:43:22 status unpacked libcom-err2:armhf 1.44.1-1
2022-03-11 02:43:22 status unpacked libcom-err2:armhf 1.44.1-1
2022-03-11 02:43:22 install libdb5.3:armhf <none> 5.3.28-13.1ubuntu1
2022-03-11 02:43:22 status half-installed libdb5.3:armhf 5.3.28-13.1ubuntu1
2022-03-11 02:43:22 status unpacked libdb5.3:armhf 5.3.28-13.1ubuntu1
2022-03-11 02:43:22 status unpacked libdb5.3:armhf 5.3.28-13.1ubuntu1
2022-03-11 02:43:22 install libdebconfclient0:armhf <none> 0.213ubuntu1
2022-03-11 02:43:22 status half-installed libdebconfclient0:armhf 0.213ubuntu1
2022-03-11 02:43:22 status unpacked libdebconfclient0:armhf 0.213ubuntu1
2022-03-11 02:43:22 status unpacked libdebconfclient0:armhf 0.213ubuntu1
2022-03-11 02:43:22 install libext2fs2:armhf <none> 1.44.1-1
2022-03-11 02:43:22 status half-installed libext2fs2:armhf 1.44.1-1
2022-03-11 02:43:22 status unpacked libext2fs2:armhf 1.44.1-1
2022-03-11 02:43:22 status unpacked libext2fs2:armhf 1.44.1-1
2022-03-11 02:43:22 install libfdisk1:armhf <none> 2.31.1-0.4ubuntu3
2022-03-11 02:43:22 status half-installed libfdisk1:armhf 2.31.1-0.4ubuntu3
2022-03-11 02:43:22 status unpacked libfdisk1:armhf 2.31.1-0.4ubuntu3
2022-03-11 02:43:22 status unpacked libfdisk1:armhf 2.31.1-0.4ubuntu3
2022-03-11 02:43:22 install libgcc1:armhf <none> 1:8-20180414-1ubuntu2
2022-03-11 02:43:22 status half-installed libgcc1:armhf 1:8-20180414-1ubuntu2
2022-03-11 02:43:22 status unpacked libgcc1:armhf 1:8-20180414-1ubuntu2
2022-03-11 02:43:22 status unpacked libgcc1:armhf 1:8-20180414-1ubuntu2
2022-03-11 02:43:22 install libgcrypt20:armhf <none> 1.8.1-4ubuntu1
2022-03-11 02:43:22 status half-installed libgcrypt20:armhf 1.8.1-4ubuntu1
2022-03-11 02:43:23 status unpacked libgcrypt20:armhf 1.8.1-4ubuntu1
2022-03-11 02:43:23 status unpacked libgcrypt20:armhf 1.8.1-4ubuntu1
2022-03-11 02:43:23 install libgpg-error0:armhf <none> 1.27-6
2022-03-11 02:43:23 status half-installed libgpg-error0:armhf 1.27-6
2022-03-11 02:43:23 status unpacked libgpg-error0:armhf 1.27-6
2022-03-11 02:43:23 status unpacked libgpg-error0:armhf 1.27-6
2022-03-11 02:43:23 install liblz4-1:armhf <none> 0.0~r131-2ubuntu3
2022-03-11 02:43:23 status half-installed liblz4-1:armhf 0.0~r131-2ubuntu3
2022-03-11 02:43:23 status unpacked liblz4-1:armhf 0.0~r131-2ubuntu3
2022-03-11 02:43:23 status unpacked liblz4-1:armhf 0.0~r131-2ubuntu3
2022-03-11 02:43:23 install liblzma5:armhf <none> 5.2.2-1.3
2022-03-11 02:43:23 status half-installed liblzma5:armhf 5.2.2-1.3
2022-03-11 02:43:23 status unpacked liblzma5:armhf 5.2.2-1.3
2022-03-11 02:43:23 status unpacked liblzma5:armhf 5.2.2-1.3
2022-03-11 02:43:23 install libmount1:armhf <none> 2.31.1-0.4ubuntu3
2022-03-11 02:43:23 status half-installed libmount1:armhf 2.31.1-0.4ubuntu3
2022-03-11 02:43:23 status unpacked libmount1:armhf 2.31.1-0.4ubuntu3
2022-03-11 02:43:23 status unpacked libmount1:armhf 2.31.1-0.4ubuntu3
2022-03-11 02:43:23 install libncurses5:armhf <none> 6.1-1ubuntu1
2022-03-11 02:43:23 status half-installed libncurses5:armhf 6.1-1ubuntu1
2022-03-11 02:43:23 status unpacked libncurses5:armhf 6.1-1ubuntu1
2022-03-11 02:43:23 status unpacked libncurses5:armhf 6.1-1ubuntu1
2022-03-11 02:43:23 install libncursesw5:armhf <none> 6.1-1ubuntu1
2022-03-11 02:43:23 status half-installed libncursesw5:armhf 6.1-1ubuntu1
2022-03-11 02:43:23 status unpacked libncursesw5:armhf 6.1-1ubuntu1
2022-03-11 02:43:23 status unpacked libncursesw5:armhf 6.1-1ubuntu1
2022-03-11 02:43:23 install libpam-modules:armhf <none> 1.1.8-3.6ubuntu2
2022-03-11 02:43:23 status half-installed libpam-modules:armhf 1.1.8-3.6ubuntu2
2022-03-11 02:43:23 status unpacked libpam-modules:armhf 1.1.8-3.6ubuntu2
2022-03-11 02:43:23 status unpacked libpam-modules:armhf 1.1.8-3.6ubuntu2
2022-03-11 02:43:23 install libpam-modules-bin:armhf <none> 1.1.8-3.6ubuntu2
2022-03-11 02:43:23 status half-installed libpam-modules-bin:armhf 1.1.8-3.6ubuntu2
2022-03-11 02:43:23 status unpacked libpam-modules-bin:armhf 1.1.8-3.6ubuntu2
2022-03-11 02:43:23 status unpacked libpam-modules-bin:armhf 1.1.8-3.6ubuntu2
2022-03-11 02:43:23 install libpam-runtime:all <none> 1.1.8-3.6ubuntu2
2022-03-11 02:43:23 status half-installed libpam-runtime:all 1.1.8-3.6ubuntu2
2022-03-11 02:43:23 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2
2022-03-11 02:43:23 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2
2022-03-11 02:43:23 install libpam0g:armhf <none> 1.1.8-3.6ubuntu2
2022-03-11 02:43:23 status half-installed libpam0g:armhf 1.1.8-3.6ubuntu2
2022-03-11 02:43:23 status unpacked libpam0g:armhf 1.1.8-3.6ubuntu2
2022-03-11 02:43:23 status unpacked libpam0g:armhf 1.1.8-3.6ubuntu2
2022-03-11 02:43:23 install libpcre3:armhf <none> 2:8.39-9
2022-03-11 02:43:23 status half-installed libpcre3:armhf 2:8.39-9
2022-03-11 02:43:23 status unpacked libpcre3:armhf 2:8.39-9
2022-03-11 02:43:23 status unpacked libpcre3:armhf 2:8.39-9
2022-03-11 02:43:23 install libprocps6:armhf <none> 2:3.3.12-3ubuntu1
2022-03-11 02:43:23 status half-installed libprocps6:armhf 2:3.3.12-3ubuntu1
2022-03-11 02:43:23 status unpacked libprocps6:armhf 2:3.3.12-3ubuntu1
2022-03-11 02:43:23 status unpacked libprocps6:armhf 2:3.3.12-3ubuntu1
2022-03-11 02:43:23 install libselinux1:armhf <none> 2.7-2build2
2022-03-11 02:43:23 status half-installed libselinux1:armhf 2.7-2build2
2022-03-11 02:43:24 status unpacked libselinux1:armhf 2.7-2build2
2022-03-11 02:43:24 status unpacked libselinux1:armhf 2.7-2build2
2022-03-11 02:43:24 install libsemanage-common:all <none> 2.7-2build2
2022-03-11 02:43:24 status half-installed libsemanage-common:all 2.7-2build2
2022-03-11 02:43:24 status unpacked libsemanage-common:all 2.7-2build2
2022-03-11 02:43:24 status unpacked libsemanage-common:all 2.7-2build2
2022-03-11 02:43:24 install libsemanage1:armhf <none> 2.7-2build2
2022-03-11 02:43:24 status half-installed libsemanage1:armhf 2.7-2build2
2022-03-11 02:43:24 status unpacked libsemanage1:armhf 2.7-2build2
2022-03-11 02:43:24 status unpacked libsemanage1:armhf 2.7-2build2
2022-03-11 02:43:24 install libsepol1:armhf <none> 2.7-1
2022-03-11 02:43:24 status half-installed libsepol1:armhf 2.7-1
2022-03-11 02:43:24 status unpacked libsepol1:armhf 2.7-1
2022-03-11 02:43:24 status unpacked libsepol1:armhf 2.7-1
2022-03-11 02:43:24 install libsmartcols1:armhf <none> 2.31.1-0.4ubuntu3
2022-03-11 02:43:24 status half-installed libsmartcols1:armhf 2.31.1-0.4ubuntu3
2022-03-11 02:43:24 status unpacked libsmartcols1:armhf 2.31.1-0.4ubuntu3
2022-03-11 02:43:24 status unpacked libsmartcols1:armhf 2.31.1-0.4ubuntu3
2022-03-11 02:43:24 install libss2:armhf <none> 1.44.1-1
2022-03-11 02:43:24 status half-installed libss2:armhf 1.44.1-1
2022-03-11 02:43:24 status unpacked libss2:armhf 1.44.1-1
2022-03-11 02:43:24 status unpacked libss2:armhf 1.44.1-1
2022-03-11 02:43:24 install libsystemd0:armhf <none> 237-3ubuntu10
2022-03-11 02:43:24 status half-installed libsystemd0:armhf 237-3ubuntu10
2022-03-11 02:43:24 status unpacked libsystemd0:armhf 237-3ubuntu10
2022-03-11 02:43:24 status unpacked libsystemd0:armhf 237-3ubuntu10
2022-03-11 02:43:24 install libtinfo5:armhf <none> 6.1-1ubuntu1
2022-03-11 02:43:24 status half-installed libtinfo5:armhf 6.1-1ubuntu1
2022-03-11 02:43:24 status unpacked libtinfo5:armhf 6.1-1ubuntu1
2022-03-11 02:43:24 status unpacked libtinfo5:armhf 6.1-1ubuntu1
2022-03-11 02:43:24 install libudev1:armhf <none> 237-3ubuntu10
2022-03-11 02:43:24 status half-installed libudev1:armhf 237-3ubuntu10
